@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445352206,31895.39,31954.89,268.04,268.54,33361.06,370.2,370.89,1701.09,1704.27,16542.91,16573.77,345.31,345.95,365.55,366.23
1445353106,31963.22,32007.25,268.61,268.98,33432.01,370.99,371.5,1704.71,1707.06,16578.09,16600.92,346.04,346.52,366.32,366.83
1445354007,32025.1,32065.56,269.13,269.47,33496.73,371.71,372.18,1708.01,1710.17,16610.18,16631.16,346.71,347.15,367.03,367.5
1445354908,32022.72,32023.91,269.11,269.12,33494.24,371.68,371.7,1707.88,1707.95,16608.94,16609.56,346.69,346.7,367.01,367.02
1445355809,31990.59,32031.05,268.84,269.18,33460.63,371.31,371.78,1706.17,1708.33,16592.28,16613.26,346.34,346.78,366.64,367.1
1445356709,31950.13,31979.88,268.5,268.75,33418.32,370.84,371.18,1704.01,1705.6,16571.3,16586.73,345.9,346.22,366.17,366.51
1445357610,31921.57,32010.82,268.26,269.01,33388.44,370.51,371.54,1702.49,1707.25,16556.48,16602.77,345.59,346.56,365.85,366.87
1445358510,31897.77,31982.26,268.06,268.77,33363.55,370.23,371.21,1701.22,1705.73,16544.14,16587.96,345.33,346.25,365.57,366.54
1445359411,31906.1,31981.07,268.13,268.76,33372.26,370.33,371.2,1701.66,1705.66,16548.46,16587.34,345.42,346.24,365.67,366.53
1445360311,31908.48,31920.38,268.15,268.25,33374.75,370.36,370.49,1701.79,1702.43,16549.7,16555.87,345.45,345.58,365.7,365.83
1445361212,31919.19,31934.66,268.24,268.37,33385.96,370.48,370.66,1702.36,1703.19,16555.25,16563.27,345.57,345.73,365.82,366
1445362113,31962.03,31981.07,268.6,268.76,33430.76,370.98,371.2,1704.65,1705.66,16577.47,16587.34,346.03,346.24,366.31,366.53
1445363014,32008.44,32038.19,268.99,269.24,33479.3,371.52,371.86,1707.12,1708.71,16601.54,16616.97,346.53,346.85,366.84,367.18
1445363915,32058.42,32091.73,269.41,269.69,33531.58,372.1,372.48,1709.79,1711.56,16627.46,16644.74,347.07,347.43,367.41,367.8
1445364816,32079.83,32100.06,269.59,269.76,33553.98,372.34,372.58,1710.93,1712.01,16638.57,16649.06,347.3,347.52,367.66,367.89
1445365716,32266.66,32349.95,271.16,271.86,33749.39,374.51,375.48,1720.89,1725.34,16735.47,16778.67,349.33,350.23,369.8,370.76
1445366617,32455.86,32463,272.75,272.81,33947.28,376.71,376.79,1730.98,1731.37,16833.6,16837.3,351.38,351.45,371.97,372.05
1445367518,32303.55,32307.12,271.47,271.5,33787.97,374.94,374.98,1722.86,1723.05,16754.6,16756.45,349.73,349.77,370.22,370.27
1445368418,32349.95,32389.22,271.86,272.19,33836.51,375.48,375.94,1725.34,1727.43,16778.67,16799.04,350.23,350.65,370.76,371.21
1445369319,32303.55,32335.67,271.47,271.74,33787.97,374.94,375.31,1722.86,1724.58,16754.6,16771.26,349.73,350.07,370.22,370.59
1445370220,32205.97,32251.19,270.65,271.03,33685.91,373.81,374.33,1717.66,1720.07,16703.99,16727.44,348.67,349.16,369.11,369.62
1445371121,32225.01,32255.95,270.81,271.07,33705.83,374.03,374.39,1718.67,1720.32,16713.87,16729.91,348.88,349.21,369.32,369.68
1445372021,32492.72,32588.54,271.26,272.06,33961.48,377.1,378.22,1722.83,1727.91,16842.42,16892.09,352.04,353.08,373.8,374.9
1445372922,32410.07,32490.32,270.57,271.24,33875.09,376.15,377.08,1718.45,1722.7,16799.57,16841.17,351.14,352.01,372.85,373.77
1445373823,32378.92,32414.86,270.31,270.61,33842.54,375.78,376.2,1716.8,1718.7,16783.43,16802.06,350.81,351.2,372.49,372.9
1445374724,32161.94,32195.26,270.28,270.56,33639.86,373.3,373.68,1715.31,1717.09,16681.15,16698.44,348.19,348.55,368.6,368.98
1445375624,32016.77,32039.38,269.06,269.25,33488.02,371.61,371.87,1707.57,1708.77,16605.86,16617.58,346.62,346.87,366.94,367.2
1445376525,32017.96,32045.33,269.07,269.3,33489.26,371.63,371.94,1707.63,1709.09,16606.48,16620.67,346.63,346.93,366.95,367.26
1445377426,32162.11,32170.5,268.5,268.57,33615.93,373.27,373.36,1705.3,1705.75,16671.05,16675.4,348.46,348.55,370,370.09
1445378327,32148.94,32166.9,268.39,268.54,33602.16,373.11,373.32,1704.6,1705.56,16664.22,16673.53,348.32,348.51,369.85,370.05
1445379227,31982.26,32020.34,268.77,269.09,33451.92,371.21,371.65,1705.73,1707.76,16587.96,16607.71,346.25,346.66,366.54,366.98
1445380128,31935.85,31985.83,268.38,268.8,33403.38,370.67,371.25,1703.25,1705.92,16563.89,16589.81,345.75,346.29,366.01,366.58
1445381029,32193.26,32317.83,268.76,269.8,33648.48,373.63,375.07,1706.95,1713.56,16687.19,16751.77,348.8,350.15,370.36,371.79
1445381930,32072.7,32102.44,269.53,269.78,33546.51,372.26,372.61,1710.55,1712.14,16634.87,16650.3,347.23,347.55,367.58,367.92
1445382830,32077.45,32152.42,269.57,270.2,33551.49,372.32,373.19,1710.8,1714.8,16637.33,16676.22,347.28,348.09,367.63,368.49
1445383731,32173.84,32175.03,270.38,270.39,33652.31,373.44,373.45,1715.94,1716.01,16687.33,16687.94,348.32,348.34,368.74,368.75
1445384632,32240.48,32241.67,270.94,270.95,33722.01,374.21,374.22,1719.5,1719.56,16721.89,16722.51,349.04,349.06,369.5,369.52
1445385533,32419.65,32431.63,270.65,270.75,33885.11,376.26,376.4,1718.96,1719.59,16804.54,16810.75,351.25,351.38,372.96,373.1
1445386433,32071.51,32106.01,269.52,269.81,33545.27,372.25,372.65,1710.49,1712.33,16634.25,16652.15,347.21,347.59,367.56,367.96
1445387334,32142.9,32234.53,270.12,270.89,33619.95,373.08,374.14,1714.29,1719.18,16671.28,16718.8,347.99,348.98,368.38,369.43
1445388235,32420.85,32453.19,270.66,270.93,33886.36,376.27,376.65,1719.02,1720.74,16805.16,16821.93,351.26,351.61,372.97,373.35
1445389135,32245.24,32247.62,270.98,271,33726.98,374.26,374.29,1719.75,1719.88,16724.36,16725.59,349.1,349.12,369.56,369.58
1445390036,32362.15,32453.19,270.17,270.93,33825.01,375.59,376.65,1715.91,1720.74,16774.74,16821.93,350.63,351.61,372.3,373.35
1445390937,32492.72,32538.23,271.26,271.64,33961.48,377.1,377.63,1722.83,1725.24,16842.42,16866.01,352.04,352.53,373.8,374.32
1445391838,32550.21,32581.36,271.74,272,34021.58,377.77,378.13,1725.88,1727.53,16872.22,16888.36,352.66,353,374.46,374.82
1445392738,32317.82,32319.01,271.59,271.6,33802.91,375.11,375.12,1723.62,1723.69,16762.01,16762.62,349.88,349.89,370.39,370.4
1445393639,32526.26,32636.46,271.54,272.46,33996.54,377.49,378.77,1724.61,1730.45,16859.8,16916.92,352.4,353.6,374.19,375.45
1445394540,32463.97,32533.44,271.02,271.6,33931.43,376.77,377.58,1721.31,1724.99,16827.52,16863.53,351.73,352.48,373.47,374.27
1445395440,32192.88,32266.66,270.54,271.16,33672.22,373.66,374.51,1716.96,1720.89,16697.2,16735.47,348.53,349.33,368.96,369.8
1445396341,32151.23,32185.74,270.19,270.48,33628.66,373.17,373.57,1714.74,1716.58,16675.6,16693.5,348.08,348.45,368.48,368.87
1445397242,32209.54,32241.67,270.68,270.95,33689.65,373.85,374.22,1717.85,1719.56,16705.84,16722.51,348.71,349.06,369.15,369.52
1445398143,32100.06,32189.31,269.76,270.51,33575.14,372.58,373.61,1712.01,1716.77,16649.06,16695.35,347.52,348.49,367.89,368.92
1445399044,32305.85,32422.04,269.7,270.67,33766.17,374.94,376.28,1712.92,1719.08,16745.56,16805.78,350.02,351.27,371.65,372.99
1445399944,32100.06,32205.97,269.76,270.65,33575.14,372.58,373.81,1712.01,1717.66,16649.06,16703.99,347.52,348.67,367.89,369.11
1445400845,32352.57,32437.62,270.09,270.8,33815,375.48,376.47,1715.4,1719.91,16769.77,16813.86,350.52,351.44,372.19,373.17
1445401746,32331.01,32396.89,269.91,270.46,33792.46,375.23,375.99,1714.26,1717.75,16758.6,16792.75,350.29,351,371.94,372.7
1445402647,32314.24,32405.27,269.77,270.53,33774.93,375.03,376.09,1713.37,1718.2,16749.9,16797.09,350.11,351.09,371.75,372.79
1445403547,32362.15,32401.68,270.17,270.5,33825.01,375.59,376.05,1715.91,1718,16774.74,16795.23,350.63,351.05,372.3,372.75
1445404448,32125.05,32182.17,269.97,270.45,33601.28,372.87,373.53,1713.34,1716.39,16662.02,16691.65,347.79,348.41,368.18,368.83
1445405349,32157.18,32180.98,270.24,270.44,33634.88,373.24,373.52,1715.06,1716.32,16678.69,16691.03,348.14,348.4,368.55,368.82
1445406250,32406.47,32434.02,270.54,270.77,33871.34,376.1,376.42,1718.26,1719.72,16797.71,16811.99,351.11,351.4,372.81,373.12
1445407150,32413.66,32461.57,270.6,271,33878.85,376.19,376.74,1718.64,1721.18,16801.44,16826.27,351.18,351.7,372.89,373.44
1445408051,32229.19,32248.36,269.06,269.22,33686.04,374.05,374.27,1708.86,1709.87,16705.82,16715.75,349.18,349.39,370.77,370.99
1445408952,31760.93,31771.64,266.91,267,33220.42,368.64,368.77,1693.92,1694.49,16473.16,16478.72,343.85,343.97,364.01,364.13
1445409853,31976.45,31983.63,266.95,267.01,33421.87,371.11,371.2,1695.46,1695.84,16574.81,16578.54,346.45,346.52,367.86,367.94
1445410753,31890.63,31893.01,268,268.02,33356.08,370.15,370.18,1700.84,1700.97,16540.44,16541.67,345.26,345.28,365.49,365.52
1445411654,31843.03,31893.01,267.6,268.02,33306.3,369.6,370.18,1698.3,1700.97,16515.75,16541.67,344.74,345.28,364.95,365.52
1445412555,31803.77,31866.83,267.27,267.8,33265.23,369.14,369.87,1696.21,1699.57,16495.38,16528.09,344.32,345,364.5,365.22
1445413456,32080.66,32196.85,267.82,268.79,33530.8,372.32,373.67,1700.98,1707.14,16628.83,16689.06,347.58,348.83,369.06,370.4
